"","intercambio","genero","uni","conocimiento_intercambio","prendas_entrada","prendas_salida","puntos_entrada","puntos_salida","hora_inscripcion","destacable_evento","repetidor","puntos_extra","puntos_antes","hora_entrada","fiel_intercambio","entrada_prenda_1","entrada_prenda_2","entrada_prenda_3","entrada_prenda_4","entrada_prenda_5","hora_salida","salida_prenda_1","salida_prenda_2","salida_prenda_3","salida_prenda_4","salida_prenda_5","salida_prenda_6","salida_prenda_7","salida_prenda_8","salida_prenda_9"
"1","2023_11","Hombre","UC3M","Amigos",NA,NA,NA,NA,2023-11-29 12:36:17.009,"El Intercambio de ropa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2023_11","Mujer","No soy de la Universidad","Amigo organizador",7,2,25,19,2023-11-21 23:10:31.052,"El Intercambio de ropa, Aprender sobre el fast-fashion, la campaña pre-navideña y su impacto, Conocer a gente que le interesa el tema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2023_11","Mujer","URJC","Amigo organizador",NA,NA,NA,NA,2023-11-21 22:55:02.329,"El Intercambio de ropa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2023_11","Mujer","UAH","Otros",NA,NA,NA,NA,2023-11-28 07:20:18.211,"El Intercambio de ropa, Taller de Upcycling (DIY), Sección de prendas de fiesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2023_11","Hombre","UC3M","Amigo organizador",3,3,13,3,2023-11-28 00:10:23.459,"El Intercambio de ropa, Aprender sobre el fast-fashion, la campaña pre-navideña y su impacto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2023_11","Mujer","UC3M","Amigos",NA,NA,NA,NA,2023-11-28 12:18:38.855,"El Intercambio de ropa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2023_11","Mujer","UC3M","Comunicación UC3M",5,5,17,0,2023-11-29 14:13:02.067,"El Intercambio de ropa, Aprender sobre el fast-fashion, la campaña pre-navideña y su impacto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2023_11","Hombre","No soy de la Universidad","Amigos",NA,NA,NA,NA,2023-11-26 20:25:12.556,"El Intercambio de ropa, Sección de prendas de fiesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2023_11","Hombre","UC3M","Otros",9,7,26,-1,2023-11-21 17:25:50.879,"El Intercambio de ropa, Taller de Upcycling (DIY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2023_11","Mujer","UC3M","Amigos",4,2,17,8,2023-11-29 12:13:16.389,"El Intercambio de ropa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
